Resultados de Detección de Fuego:

Imágenes con FUEGO:
F1052.jpg: Sí (Detección Correcta)
F1053.jpg: Sí (Detección Correcta)
F1054.jpg: Sí (Detección Correcta)
F1055.jpg: Sí (Detección Correcta)
F1056.jpg: Sí (Detección Correcta)
F1057.jpg: Sí (Detección Correcta)
F1058.jpg: Sí (Detección Correcta)
F1059.jpg: Sí (Detección Correcta)
F106.jpg: Sí (Detección Correcta)
F1060.jpg: Sí (Detección Correcta)
F1061.jpg: Sí (Detección Correcta)
F1062.jpg: Sí (Detección Correcta)
F1063.jpg: Sí (Detección Correcta)
F1064.jpg: Sí (Detección Correcta)
F1065.jpg: Sí (Detección Correcta)
F1066.jpg: Sí (Detección Correcta)
F1067.jpg: Sí (Detección Correcta)
F1068.jpg: Sí (Detección Correcta)
F1069.jpg: Sí (Detección Correcta)
F107.jpg: Sí (Detección Correcta)
F1070.jpg: Sí (Detección Correcta)
F1071.jpg: Sí (Detección Correcta)
F1072.jpg: Sí (Detección Correcta)
F1073.jpg: Sí (Detección Correcta)
F1074.jpg: Sí (Detección Correcta)
F1075.jpg: Sí (Detección Correcta)
F1076.jpg: Sí (Detección Correcta)
F1077.jpg: Sí (Detección Correcta)
F1078.jpg: Sí (Detección Correcta)
F1079.jpg: No (Detección Errónea)
F108.jpg: Sí (Detección Correcta)
F1080.jpg: Sí (Detección Correcta)
F1081.jpg: Sí (Detección Correcta)
F1082.jpg: Sí (Detección Correcta)
F1083.jpg: Sí (Detección Correcta)
F1084.jpg: Sí (Detección Correcta)
F1085.jpg: Sí (Detección Correcta)
F1086.jpg: Sí (Detección Correcta)
F1087.jpg: Sí (Detección Correcta)
F1088.jpg: Sí (Detección Correcta)
F1089.jpg: Sí (Detección Correcta)
F109.jpg: Sí (Detección Correcta)
F1090.jpg: No (Detección Errónea)
F1091.jpg: Sí (Detección Correcta)
F1092.jpg: Sí (Detección Correcta)
F1093.jpg: Sí (Detección Correcta)
F1094.jpg: Sí (Detección Correcta)
F1095.jpg: Sí (Detección Correcta)
F1096.jpg: No (Detección Errónea)
F1097.jpg: Sí (Detección Correcta)
F1098.jpg: Sí (Detección Correcta)
F1099.jpg: Sí (Detección Correcta)
F11.jpg: Sí (Detección Correcta)
F110.jpg: Sí (Detección Correcta)
F1100.jpg: Sí (Detección Correcta)
F111.jpg: Sí (Detección Correcta)
F112.jpg: Sí (Detección Correcta)
F113.jpg: Sí (Detección Correcta)
F114.jpg: Sí (Detección Correcta)
F115.jpg: Sí (Detección Correcta)
F116.jpg: Sí (Detección Correcta)
F117.jpg: Sí (Detección Correcta)
F118.jpg: Sí (Detección Correcta)
F119.jpg: Sí (Detección Correcta)
F12.jpg: Sí (Detección Correcta)
F120.jpg: Sí (Detección Correcta)
F121.jpg: Sí (Detección Correcta)
F122.jpg: Sí (Detección Correcta)
F123.jpg: Sí (Detección Correcta)
F124.jpg: Sí (Detección Correcta)
F125.jpg: Sí (Detección Correcta)
F126.jpg: Sí (Detección Correcta)
F127.jpg: Sí (Detección Correcta)
F128.jpg: Sí (Detección Correcta)
F129.jpg: Sí (Detección Correcta)
F13.jpg: Sí (Detección Correcta)
F130.jpg: Sí (Detección Correcta)
F131.jpg: Sí (Detección Correcta)
F132.jpg: Sí (Detección Correcta)
F133.jpg: Sí (Detección Correcta)
F134.jpg: Sí (Detección Correcta)
F135.jpg: Sí (Detección Correcta)
F136.jpg: Sí (Detección Correcta)
F137.jpg: Sí (Detección Correcta)
F138.jpg: Sí (Detección Correcta)
F139.jpg: Sí (Detección Correcta)
F14.jpg: Sí (Detección Correcta)
F140.jpg: Sí (Detección Correcta)
F141.jpg: Sí (Detección Correcta)
F142.jpg: Sí (Detección Correcta)
F143.jpg: Sí (Detección Correcta)
F144.jpg: Sí (Detección Correcta)
F145.jpg: Sí (Detección Correcta)
F146.jpg: Sí (Detección Correcta)
F147.jpg: Sí (Detección Correcta)
F148.jpg: Sí (Detección Correcta)
F149.jpg: Sí (Detección Correcta)
F15.jpg: Sí (Detección Correcta)
F150.jpg: Sí (Detección Correcta)
F151.jpg: Sí (Detección Correcta)
F152.jpg: Sí (Detección Correcta)
F153.jpg: Sí (Detección Correcta)
F154.jpg: Sí (Detección Correcta)
F155.jpg: Sí (Detección Correcta)
F156.jpg: Sí (Detección Correcta)
F157.jpg: Sí (Detección Correcta)
F158.jpg: Sí (Detección Correcta)
F159.jpg: Sí (Detección Correcta)
F16.jpg: Sí (Detección Correcta)
F160.jpg: Sí (Detección Correcta)
F161.jpg: Sí (Detección Correcta)
F162.jpg: Sí (Detección Correcta)
F163.jpg: Sí (Detección Correcta)
F164.jpg: Sí (Detección Correcta)
F165.jpg: Sí (Detección Correcta)
F166.jpg: Sí (Detección Correcta)
F167.jpg: Sí (Detección Correcta)
F168.jpg: Sí (Detección Correcta)
F169.jpg: Sí (Detección Correcta)
F17.jpg: Sí (Detección Correcta)
F170.jpg: Sí (Detección Correcta)
F171.jpg: Sí (Detección Correcta)
F172.jpg: Sí (Detección Correcta)
F173.jpg: Sí (Detección Correcta)
F174.jpg: Sí (Detección Correcta)
F175.jpg: Sí (Detección Correcta)
F176.jpg: Sí (Detección Correcta)
F177.jpg: Sí (Detección Correcta)
F178.jpg: Sí (Detección Correcta)
F179.jpg: Sí (Detección Correcta)
F18.jpg: Sí (Detección Correcta)
F180.jpg: Sí (Detección Correcta)
F181.jpg: Sí (Detección Correcta)
F182.jpg: Sí (Detección Correcta)
F183.jpg: Sí (Detección Correcta)
F184.jpg: Sí (Detección Correcta)
F185.jpg: Sí (Detección Correcta)
F186.jpg: Sí (Detección Correcta)
F187.jpg: Sí (Detección Correcta)
F188.jpg: Sí (Detección Correcta)
F189.jpg: Sí (Detección Correcta)
F19.jpg: Sí (Detección Correcta)
F190.jpg: Sí (Detección Correcta)
F191.jpg: Sí (Detección Correcta)
F192.jpg: Sí (Detección Correcta)
F193.jpg: Sí (Detección Correcta)
F194.jpg: Sí (Detección Correcta)
F195.jpg: Sí (Detección Correcta)
F196.jpg: Sí (Detección Correcta)
F197.jpg: Sí (Detección Correcta)
F198.jpg: Sí (Detección Correcta)
F199.jpg: Sí (Detección Correcta)
F2.jpg: Sí (Detección Correcta)
F20.jpg: Sí (Detección Correcta)
F200.jpg: Sí (Detección Correcta)
F201.jpg: Sí (Detección Correcta)
F202.jpg: Sí (Detección Correcta)
F203.jpg: Sí (Detección Correcta)
F204.jpg: Sí (Detección Correcta)
F205.jpg: Sí (Detección Correcta)
F206.jpg: Sí (Detección Correcta)
F207.jpg: Sí (Detección Correcta)
F208.jpg: Sí (Detección Correcta)
F209.jpg: Sí (Detección Correcta)
F21.jpg: Sí (Detección Correcta)
F210.jpg: Sí (Detección Correcta)
F211.jpg: Sí (Detección Correcta)
F212.jpg: Sí (Detección Correcta)
F213.jpg: Sí (Detección Correcta)
F214.jpg: Sí (Detección Correcta)
F215.jpg: Sí (Detección Correcta)
F216.jpg: Sí (Detección Correcta)
F217.jpg: Sí (Detección Correcta)
F218.jpg: Sí (Detección Correcta)
F219.jpg: Sí (Detección Correcta)
F22.jpg: Sí (Detección Correcta)
F220.jpg: Sí (Detección Correcta)
F221.jpg: Sí (Detección Correcta)
F222.jpg: Sí (Detección Correcta)
F223.jpg: Sí (Detección Correcta)
F224.jpg: Sí (Detección Correcta)
F225.jpg: Sí (Detección Correcta)
F226.jpg: Sí (Detección Correcta)
F227.jpg: Sí (Detección Correcta)
F228.jpg: Sí (Detección Correcta)
F229.jpg: Sí (Detección Correcta)
F23.jpg: Sí (Detección Correcta)
F230.jpg: Sí (Detección Correcta)
F231.jpg: Sí (Detección Correcta)
F232.jpg: Sí (Detección Correcta)
F233.jpg: Sí (Detección Correcta)
F234.jpg: Sí (Detección Correcta)
F235.jpg: Sí (Detección Correcta)
F236.jpg: Sí (Detección Correcta)
F237.jpg: Sí (Detección Correcta)
F238.jpg: Sí (Detección Correcta)
F239.jpg: Sí (Detección Correcta)
F24.jpg: Sí (Detección Correcta)
F240.jpg: Sí (Detección Correcta)
F241.jpg: Sí (Detección Correcta)
F242.jpg: Sí (Detección Correcta)
F243.jpg: Sí (Detección Correcta)
F244.jpg: Sí (Detección Correcta)
F245.jpg: Sí (Detección Correcta)
F246.jpg: Sí (Detección Correcta)
F247.jpg: Sí (Detección Correcta)
F248.jpg: Sí (Detección Correcta)
F249.jpg: Sí (Detección Correcta)
F25.jpg: Sí (Detección Correcta)
F250.jpg: Sí (Detección Correcta)
F251.jpg: Sí (Detección Correcta)
F252.jpg: Sí (Detección Correcta)
F253.jpg: Sí (Detección Correcta)
F254.jpg: Sí (Detección Correcta)
F255.jpg: Sí (Detección Correcta)
F256.jpg: Sí (Detección Correcta)
F257.jpg: Sí (Detección Correcta)
F258.jpg: Sí (Detección Correcta)
F259.jpg: Sí (Detección Correcta)
F26.jpg: Sí (Detección Correcta)
F260.jpg: Sí (Detección Correcta)
F261.jpg: Sí (Detección Correcta)
F262.jpg: Sí (Detección Correcta)
F263.jpg: Sí (Detección Correcta)
F264.jpg: Sí (Detección Correcta)
F265.jpg: Sí (Detección Correcta)
F266.jpg: Sí (Detección Correcta)
F267.jpg: Sí (Detección Correcta)
F268.jpg: Sí (Detección Correcta)
F269.jpg: Sí (Detección Correcta)
F27.jpg: Sí (Detección Correcta)
F270.jpg: Sí (Detección Correcta)
F271.jpg: Sí (Detección Correcta)
F272.jpg: Sí (Detección Correcta)
F273.jpg: Sí (Detección Correcta)
F274.jpg: Sí (Detección Correcta)
F275.jpg: Sí (Detección Correcta)
F276.jpg: Sí (Detección Correcta)
F277.jpg: Sí (Detección Correcta)
F278.jpg: Sí (Detección Correcta)
F279.jpg: Sí (Detección Correcta)
F28.jpg: Sí (Detección Correcta)
F280.jpg: Sí (Detección Correcta)
F281.jpg: Sí (Detección Correcta)
F282.jpg: Sí (Detección Correcta)
F283.jpg: Sí (Detección Correcta)
F284.jpg: Sí (Detección Correcta)
F285.jpg: Sí (Detección Correcta)
F286.jpg: Sí (Detección Correcta)
F287.jpg: Sí (Detección Correcta)
F288.jpg: Sí (Detección Correcta)
F289.jpg: Sí (Detección Correcta)
F29.jpg: Sí (Detección Correcta)
F290.jpg: Sí (Detección Correcta)
F291.jpg: Sí (Detección Correcta)
F292.jpg: Sí (Detección Correcta)
F293.jpg: Sí (Detección Correcta)
F294.jpg: Sí (Detección Correcta)
F295.jpg: Sí (Detección Correcta)
F296.jpg: Sí (Detección Correcta)
F297.jpg: Sí (Detección Correcta)
F298.jpg: Sí (Detección Correcta)
F299.jpg: Sí (Detección Correcta)
F3.jpg: Sí (Detección Correcta)
F30.jpg: Sí (Detección Correcta)
F300.jpg: Sí (Detección Correcta)
F301.jpg: Sí (Detección Correcta)
F302.jpg: Sí (Detección Correcta)
F303.jpg: Sí (Detección Correcta)
F304.jpg: Sí (Detección Correcta)
F305.jpg: Sí (Detección Correcta)
F306.jpg: Sí (Detección Correcta)
F307.jpg: Sí (Detección Correcta)
F308.jpg: Sí (Detección Correcta)
F309.jpg: Sí (Detección Correcta)
F31.jpg: Sí (Detección Correcta)
F310.jpg: Sí (Detección Correcta)
F311.jpg: Sí (Detección Correcta)
F312.jpg: Sí (Detección Correcta)
F313.jpg: Sí (Detección Correcta)
F314.jpg: Sí (Detección Correcta)
F315.jpg: Sí (Detección Correcta)
F316.jpg: Sí (Detección Correcta)
F317.jpg: Sí (Detección Correcta)
F318.jpg: Sí (Detección Correcta)
F319.jpg: Sí (Detección Correcta)
F32.jpg: Sí (Detección Correcta)
F320.jpg: Sí (Detección Correcta)
F321.jpg: Sí (Detección Correcta)
F322.jpg: Sí (Detección Correcta)
F323.jpg: Sí (Detección Correcta)
F324.jpg: Sí (Detección Correcta)
F325.jpg: Sí (Detección Correcta)
F326.jpg: Sí (Detección Correcta)
F327.jpg: Sí (Detección Correcta)
F328.jpg: Sí (Detección Correcta)
F329.jpg: Sí (Detección Correcta)
F33.jpg: Sí (Detección Correcta)
F330.jpg: Sí (Detección Correcta)
F331.jpg: Sí (Detección Correcta)
F332.jpg: Sí (Detección Correcta)
F333.jpg: Sí (Detección Correcta)
F334.jpg: Sí (Detección Correcta)
F335.jpg: Sí (Detección Correcta)
F336.jpg: Sí (Detección Correcta)
F337.jpg: Sí (Detección Correcta)
F338.jpg: Sí (Detección Correcta)
F339.jpg: Sí (Detección Correcta)
F34.jpg: Sí (Detección Correcta)
F340.jpg: Sí (Detección Correcta)
F341.jpg: Sí (Detección Correcta)
F342.jpg: Sí (Detección Correcta)
F343.jpg: Sí (Detección Correcta)
F344.jpg: Sí (Detección Correcta)
F345.jpg: Sí (Detección Correcta)
F346.jpg: Sí (Detección Correcta)
F347.jpg: Sí (Detección Correcta)
F348.jpg: Sí (Detección Correcta)
F349.jpg: Sí (Detección Correcta)
F35.jpg: Sí (Detección Correcta)
F350.jpg: Sí (Detección Correcta)
F351.jpg: Sí (Detección Correcta)
F352.jpg: Sí (Detección Correcta)
F353.jpg: Sí (Detección Correcta)
F354.jpg: Sí (Detección Correcta)
F355.jpg: Sí (Detección Correcta)
F356.jpg: Sí (Detección Correcta)
F357.jpg: Sí (Detección Correcta)
F358.jpg: Sí (Detección Correcta)
F359.jpg: Sí (Detección Correcta)
F36.jpg: Sí (Detección Correcta)
F360.jpg: Sí (Detección Correcta)
F361.jpg: Sí (Detección Correcta)
F362.jpg: Sí (Detección Correcta)
F363.jpg: Sí (Detección Correcta)
F364.jpg: Sí (Detección Correcta)
F365.jpg: Sí (Detección Correcta)
F366.jpg: Sí (Detección Correcta)
F367.jpg: Sí (Detección Correcta)
F368.jpg: Sí (Detección Correcta)
F369.jpg: Sí (Detección Correcta)
F37.jpg: Sí (Detección Correcta)
F370.jpg: Sí (Detección Correcta)
F371.jpg: Sí (Detección Correcta)
F372.jpg: Sí (Detección Correcta)
F373.jpg: Sí (Detección Correcta)
F374.jpg: Sí (Detección Correcta)
F375.jpg: Sí (Detección Correcta)
F376.jpg: Sí (Detección Correcta)
F377.jpg: Sí (Detección Correcta)
F378.jpg: Sí (Detección Correcta)
F379.jpg: Sí (Detección Correcta)
F38.jpg: Sí (Detección Correcta)
F380.jpg: Sí (Detección Correcta)
F381.jpg: Sí (Detección Correcta)
F382.jpg: Sí (Detección Correcta)
F383.jpg: Sí (Detección Correcta)
F384.jpg: Sí (Detección Correcta)
F385.jpg: Sí (Detección Correcta)
F386.jpg: Sí (Detección Correcta)
F387.jpg: Sí (Detección Correcta)
F388.jpg: Sí (Detección Correcta)
F389.jpg: Sí (Detección Correcta)
F39.jpg: Sí (Detección Correcta)
F390.jpg: Sí (Detección Correcta)
F391.jpg: Sí (Detección Correcta)
F392.jpg: Sí (Detección Correcta)
F393.jpg: Sí (Detección Correcta)
F394.jpg: Sí (Detección Correcta)
F395.jpg: Sí (Detección Correcta)
F396.jpg: Sí (Detección Correcta)
F397.jpg: Sí (Detección Correcta)
F398.jpg: Sí (Detección Correcta)
F399.jpg: Sí (Detección Correcta)
F4.jpg: Sí (Detección Correcta)
F40.jpg: Sí (Detección Correcta)
F400.jpg: Sí (Detección Correcta)
F401.jpg: Sí (Detección Correcta)
F402.jpg: Sí (Detección Correcta)
F403.jpg: Sí (Detección Correcta)
F404.jpg: Sí (Detección Correcta)
F405.jpg: Sí (Detección Correcta)
F406.jpg: Sí (Detección Correcta)
F407.jpg: Sí (Detección Correcta)
F408.jpg: Sí (Detección Correcta)
F409.jpg: Sí (Detección Correcta)
F41.jpg: Sí (Detección Correcta)
F410.jpg: Sí (Detección Correcta)
F411.jpg: Sí (Detección Correcta)
F412.jpg: Sí (Detección Correcta)
F413.jpg: Sí (Detección Correcta)
F414.jpg: Sí (Detección Correcta)
F415.jpg: Sí (Detección Correcta)
F416.jpg: Sí (Detección Correcta)
F417.jpg: Sí (Detección Correcta)
F418.jpg: Sí (Detección Correcta)
F419.jpg: Sí (Detección Correcta)
F42.jpg: Sí (Detección Correcta)
F420.jpg: Sí (Detección Correcta)
F421.jpg: Sí (Detección Correcta)
F422.jpg: Sí (Detección Correcta)
F423.jpg: Sí (Detección Correcta)
F424.jpg: Sí (Detección Correcta)
F425.jpg: Sí (Detección Correcta)
F426.jpg: Sí (Detección Correcta)
F427.jpg: Sí (Detección Correcta)
F428.jpg: Sí (Detección Correcta)
F429.jpg: Sí (Detección Correcta)
F43.jpg: Sí (Detección Correcta)
F430.jpg: Sí (Detección Correcta)
F431.jpg: Sí (Detección Correcta)
F432.jpg: Sí (Detección Correcta)
F433.jpg: Sí (Detección Correcta)
F434.jpg: Sí (Detección Correcta)
F435.jpg: Sí (Detección Correcta)
F436.jpg: Sí (Detección Correcta)
F437.jpg: Sí (Detección Correcta)
F438.jpg: Sí (Detección Correcta)
F439.jpg: Sí (Detección Correcta)
F44.jpg: Sí (Detección Correcta)
F440.jpg: Sí (Detección Correcta)
F441.jpg: Sí (Detección Correcta)
F442.jpg: Sí (Detección Correcta)
F443.jpg: Sí (Detección Correcta)
F444.jpg: Sí (Detección Correcta)
F445.jpg: Sí (Detección Correcta)
F446.jpg: Sí (Detección Correcta)
F447.jpg: Sí (Detección Correcta)
F448.jpg: Sí (Detección Correcta)
F449.jpg: Sí (Detección Correcta)
F45.jpg: Sí (Detección Correcta)
F450.jpg: Sí (Detección Correcta)
F451.jpg: Sí (Detección Correcta)
F452.jpg: Sí (Detección Correcta)
F453.jpg: Sí (Detección Correcta)
F454.jpg: Sí (Detección Correcta)
F455.jpg: Sí (Detección Correcta)
F456.jpg: Sí (Detección Correcta)
F457.jpg: Sí (Detección Correcta)
F458.jpg: Sí (Detección Correcta)
F459.jpg: Sí (Detección Correcta)
F46.jpg: Sí (Detección Correcta)
F460.jpg: Sí (Detección Correcta)
F461.jpg: Sí (Detección Correcta)
F462.jpg: Sí (Detección Correcta)
F463.jpg: Sí (Detección Correcta)
F464.jpg: Sí (Detección Correcta)
F465.jpg: Sí (Detección Correcta)
F466.jpg: Sí (Detección Correcta)
F467.jpg: Sí (Detección Correcta)
F468.jpg: Sí (Detección Correcta)
F469.jpg: Sí (Detección Correcta)
F47.jpg: Sí (Detección Correcta)
F470.jpg: Sí (Detección Correcta)
F471.jpg: Sí (Detección Correcta)
F472.jpg: Sí (Detección Correcta)
F473.jpg: Sí (Detección Correcta)
F474.jpg: Sí (Detección Correcta)
F475.jpg: Sí (Detección Correcta)
F476.jpg: Sí (Detección Correcta)
F477.jpg: Sí (Detección Correcta)
F478.jpg: Sí (Detección Correcta)
F479.jpg: Sí (Detección Correcta)
F48.jpg: Sí (Detección Correcta)
F480.jpg: Sí (Detección Correcta)
F481.jpg: Sí (Detección Correcta)
F482.jpg: Sí (Detección Correcta)
F483.jpg: Sí (Detección Correcta)
F484.jpg: Sí (Detección Correcta)
F485.jpg: Sí (Detección Correcta)
F486.jpg: Sí (Detección Correcta)
F487.jpg: Sí (Detección Correcta)
F488.jpg: Sí (Detección Correcta)
F489.jpg: Sí (Detección Correcta)
F49.jpg: Sí (Detección Correcta)
F490.jpg: Sí (Detección Correcta)
F491.jpg: Sí (Detección Correcta)
F492.jpg: Sí (Detección Correcta)
F493.jpg: Sí (Detección Correcta)
F494.jpg: Sí (Detección Correcta)
F495.jpg: Sí (Detección Correcta)
F496.jpg: Sí (Detección Correcta)
F497.jpg: Sí (Detección Correcta)
F498.jpg: Sí (Detección Correcta)
F499.jpg: Sí (Detección Correcta)
F5.jpg: Sí (Detección Correcta)
F50.jpg: Sí (Detección Correcta)
F500.jpg: Sí (Detección Correcta)
F501.jpg: Sí (Detección Correcta)
F502.jpg: Sí (Detección Correcta)
F503.jpg: Sí (Detección Correcta)
F504.jpg: Sí (Detección Correcta)
F505.jpg: Sí (Detección Correcta)
F506.jpg: Sí (Detección Correcta)
F507.jpg: Sí (Detección Correcta)
F508.jpg: Sí (Detección Correcta)
F509.jpg: Sí (Detección Correcta)
F51.jpg: Sí (Detección Correcta)
F510.jpg: Sí (Detección Correcta)
F511.jpg: Sí (Detección Correcta)
F512.jpg: Sí (Detección Correcta)
F513.jpg: Sí (Detección Correcta)
F514.jpg: Sí (Detección Correcta)
F515.jpg: Sí (Detección Correcta)
F516.jpg: Sí (Detección Correcta)
F517.jpg: Sí (Detección Correcta)
F518.jpg: Sí (Detección Correcta)
F519.jpg: Sí (Detección Correcta)
F52.jpg: Sí (Detección Correcta)
F520.jpg: Sí (Detección Correcta)
F521.jpg: Sí (Detección Correcta)
F522.jpg: Sí (Detección Correcta)
F523.jpg: Sí (Detección Correcta)
F524.jpg: Sí (Detección Correcta)
F525.jpg: Sí (Detección Correcta)
F526.jpg: Sí (Detección Correcta)
F527.jpg: Sí (Detección Correcta)
F528.jpg: Sí (Detección Correcta)
F529.jpg: Sí (Detección Correcta)
F53.jpg: Sí (Detección Correcta)
F530.jpg: Sí (Detección Correcta)
F531.jpg: Sí (Detección Correcta)
F532.jpg: Sí (Detección Correcta)
F533.jpg: Sí (Detección Correcta)
F534.jpg: Sí (Detección Correcta)
F535.jpg: Sí (Detección Correcta)
F536.jpg: Sí (Detección Correcta)
F537.jpg: Sí (Detección Correcta)
F538.jpg: Sí (Detección Correcta)
F539.jpg: Sí (Detección Correcta)
F54.jpg: Sí (Detección Correcta)
F540.jpg: Sí (Detección Correcta)
F541.jpg: Sí (Detección Correcta)
F542.jpg: Sí (Detección Correcta)
F543.jpg: Sí (Detección Correcta)
F544.jpg: Sí (Detección Correcta)
F545.jpg: Sí (Detección Correcta)
F546.jpg: Sí (Detección Correcta)
F547.jpg: Sí (Detección Correcta)
F548.jpg: Sí (Detección Correcta)
F549.jpg: Sí (Detección Correcta)
F55.jpg: Sí (Detección Correcta)
F550.jpg: Sí (Detección Correcta)
F551.jpg: Sí (Detección Correcta)
F552.jpg: Sí (Detección Correcta)
F553.jpg: Sí (Detección Correcta)
F554.jpg: Sí (Detección Correcta)
F555.jpg: No (Detección Errónea)
F556.jpg: Sí (Detección Correcta)
F557.jpg: Sí (Detección Correcta)
F558.jpg: Sí (Detección Correcta)
F559.jpg: Sí (Detección Correcta)
F56.jpg: Sí (Detección Correcta)
F560.jpg: Sí (Detección Correcta)
F561.jpg: Sí (Detección Correcta)
F562.jpg: Sí (Detección Correcta)
F563.jpg: No (Detección Errónea)
F564.jpg: Sí (Detección Correcta)
F565.jpg: Sí (Detección Correcta)
F566.jpg: Sí (Detección Correcta)
F567.jpg: Sí (Detección Correcta)
F568.jpg: Sí (Detección Correcta)
F569.jpg: Sí (Detección Correcta)
F57.jpg: Sí (Detección Correcta)
F570.jpg: Sí (Detección Correcta)
F571.jpg: Sí (Detección Correcta)
F572.jpg: Sí (Detección Correcta)
F573.jpg: Sí (Detección Correcta)
F574.jpg: Sí (Detección Correcta)
F575.jpg: Sí (Detección Correcta)
F576.jpg: Sí (Detección Correcta)
F577.jpg: Sí (Detección Correcta)
F578.jpg: Sí (Detección Correcta)
F579.jpg: Sí (Detección Correcta)
F58.jpg: Sí (Detección Correcta)
F580.jpg: Sí (Detección Correcta)
F581.jpg: Sí (Detección Correcta)
F582.jpg: Sí (Detección Correcta)
F583.jpg: Sí (Detección Correcta)
F584.jpg: Sí (Detección Correcta)
F585.jpg: Sí (Detección Correcta)
F586.jpg: Sí (Detección Correcta)
F587.jpg: Sí (Detección Correcta)
F588.jpg: Sí (Detección Correcta)
F589.jpg: Sí (Detección Correcta)
F59.jpg: Sí (Detección Correcta)
F590.jpg: Sí (Detección Correcta)
F591.jpg: Sí (Detección Correcta)
F592.jpg: Sí (Detección Correcta)
F593.jpg: Sí (Detección Correcta)
F594.jpg: Sí (Detección Correcta)
F595.jpg: Sí (Detección Correcta)
F596.jpg: Sí (Detección Correcta)
F597.jpg: Sí (Detección Correcta)
F598.jpg: Sí (Detección Correcta)
F599.jpg: Sí (Detección Correcta)
F6.jpg: Sí (Detección Correcta)
F60.jpg: Sí (Detección Correcta)
F600.jpg: Sí (Detección Correcta)
F601.jpg: Sí (Detección Correcta)
F602.jpg: No (Detección Errónea)
F603.jpg: No (Detección Errónea)
F604.jpg: No (Detección Errónea)
F605.jpg: Sí (Detección Correcta)
F606.jpg: No (Detección Errónea)
F607.jpg: Sí (Detección Correcta)
F608.jpg: Sí (Detección Correcta)
F609.jpg: Sí (Detección Correcta)
F61.jpg: Sí (Detección Correcta)
F610.jpg: Sí (Detección Correcta)
F611.jpg: Sí (Detección Correcta)
F612.jpg: Sí (Detección Correcta)
F613.jpg: Sí (Detección Correcta)
F614.jpg: Sí (Detección Correcta)
F615.jpg: Sí (Detección Correcta)
F616.jpg: Sí (Detección Correcta)
F617.jpg: Sí (Detección Correcta)
F618.jpg: Sí (Detección Correcta)
F619.jpg: Sí (Detección Correcta)
F62.jpg: Sí (Detección Correcta)
F620.jpg: Sí (Detección Correcta)
F621.jpg: Sí (Detección Correcta)
F622.jpg: Sí (Detección Correcta)
F623.jpg: Sí (Detección Correcta)
F624.jpg: Sí (Detección Correcta)
F625.jpg: Sí (Detección Correcta)
F626.jpg: Sí (Detección Correcta)
F627.jpg: Sí (Detección Correcta)
F628.jpg: Sí (Detección Correcta)
F629.jpg: Sí (Detección Correcta)
F63.jpg: Sí (Detección Correcta)
F630.jpg: Sí (Detección Correcta)
F631.jpg: Sí (Detección Correcta)
